CC.Course_Number,CC.Section_Number,CC.TermID,CC.Expression,CC.PowerschoolID
896,2,3302,"14(B,D,F,H)",175
981,42,3301,"9(A,C,E,G)",175
983,42,3302,"9(A,C,E,G)",175
520,4,3300,"10-11(B,D,F,H)",175
982,42,3301,"9(B,D,F,H)",175
984,42,3302,"9(B,D,F,H)",175
110,8,3300,"4-5(B,D,F,H)",175
225,1,3300,"4-5(A,C,E,G)",175
806,2,3300,"14(B,D,F,H)",175
884,1,3302,"12-13(B,D,F,H)",175
Senior HR,2,3300,1(A-H),175
340,4,3300,"10-11(A,C,E,G)",176
981,22,3301,"5(A,C,E,G)",176
983,22,3302,"5(A,C,E,G)",176
110,7,3300,"2-3(B,D,F,H)",176
1176,4,3301,4-5(F),176
493,1,3300,"10-11(B,D,F,H)",176
806,2,3300,"14(B,D,F,H)",176
845,1,3301,"6-7(B,D,F,H)",176
846,1,3302,"6-7(B,D,F,H)",176
860,1,3301,"6-7(A,C,E,G)",176
982,42,3301,"9(B,D,F,H)",176
984,42,3302,"9(B,D,F,H)",176
1175,4,3302,4-5(F),176
223,1,3300,"2-3(A,C,E,G)",176
644,2,3302,"6-7(A,C,E,G)",176
840,1,3300,"8(A-H) 9(A,C,E,G)",176
Senior HR,2,3300,1(A-H),176
110,2,3300,"4-5(A,C,E,G)",183
264,1,3300,"6-7(A,C,E,G)",183
492,1,3300,"12-13(B,D,F,H)",183
806,2,3300,"14(B,D,F,H)",183
846,1,3302,"6-7(B,D,F,H)",183
981,42,3301,"9(A,C,E,G)",183
983,42,3302,"9(A,C,E,G)",183
984,51,3302,"10(B,D,F,H)",183
557,1,3301,"4-5(B,D,F,H)",183
887,1,3302,"14(A,C,E,G)",183
1175,11,3302,12-13(E),183
1176,8,3301,8-9(F),183
340,6,3300,"2-3(B,D,F,H)",183
727,3,3302,"8-9(B,D,F,H)",183
845,1,3301,"6-7(B,D,F,H)",183
850,1,3300,"10-11(A,C,E,G)",183
886,1,3301,"14(A,C,E,G)",183
982,52,3301,"11(B,D,F,H)",183
Senior HR,2,3300,1(A-H),183
1175,12,3302,12-13(F),184
885,2,3302,"4-5(B,D,F,H)",184
719,5,3301,"4-5(B,D,F,H)",184
110,3,3300,"6-7(A,C,E,G)",184
225,4,3300,"12-13(A,C,E,G)",184
1176,12,3301,12-13(F),184
340,9,3300,"10-11(B,D,F,H)",184
412,1,3300,"2-3(A,C,E,G)",184
710,2,3302,"8-9(A,C,E,G)",184
981,22,3301,"5(A,C,E,G)",184
527,3,3300,"6-7(B,D,F,H)",184
982,42,3301,"9(B,D,F,H)",184
984,42,3302,"9(B,D,F,H)",184
983,22,3302,"5(A,C,E,G)",184
Senior HR,2,3300,1(A-H),184
